Word,Definition
3PL ,Third Party Logistics.
3PP ,Third Party Platform
Advantum ,An advanced document management system for quality/technical documents.
???????AE , Adverse Event
AOR ,Area of Responsibility
A&P , Advertising & Promotion. This is the marketing budget for a brand.
ATL,"Above-The-Line marketing. ATL is using mass media to market to a wide audience. ATL includes media such as radio, TV, print media such as newspapers and magazines, and billboards."
B2B2C ,Business-to-Business-to-Consumer.
Bad debt provision , provision for losses on accounts receivable. This is based on the actual invoice that is expected not to be paid by the customer and therefore might need to be written off during a given period.
BC , Business Case
BC ,BioClin
BEC ,Business Email Compromise. BEC is a type of email cybercrime scam in which an attacker targets businesses to defraud the company. A business email compromise is a large and growing problem that targets organizations of all sizes across every industry around the world.
B&M ,Brick & Mortar
BMC ,Brand Market Combination
BoD ,Board of Directors
BS ," Balance Sheet. A financial statement that reports a company's assets, liabilities, and shareholders' equity at a specific point in time. It is a financial statement that provides a snapshot of what a company owns and owes, as well as the amount invested by shareholders."
BTL,"Below-The-Line marketing. In contrast to ATL, below-the-line advertising is directed to reach a small, targeted audience. BTL includes marketing activities such as brochures, direct mail, flyers, sponsorships, and email campaigns."
BU ,Budget.
BU rate ,Budget rate.
CA , Competent Authority.
CAPA , Corrective Actions Preventative Actions.
Capitalizing of expenses ," to record a cost or expense on the balance sheet for the purposes of delaying full recognition of the expense. In general, capitalizing on expenses is beneficial as companies acquiring new assets with long-term lifespans can amortize or depreciate the costs. "
CEO ,Chief Executive Officer – in our case Christoffer Lorenzen - the corporate executive in charge of managing the Karo organization.
CFO ,Chief Financial Officer. A CFO is a senior executive responsible for managing the financial actions of a company. In our case is that Jon Johnson.
CHC ,Consumer HealthCare.
CCO ,"Chief Commercial Officer, for Karo Magnus Nylén fulfills that role. This person oversees the development and commercial strategies for Karo."
???????CM ,Country Manager.
CMO ,"Contract Manufacturing Organization. A CMO (sometimes called a contract development and manufacturing organization - CDMO), is a company that serves us on a contract basis to provide comprehensive services from product development through product manufacturing."
CMT , Chief Management Team
COA , Certificat Of Analysis
CoE ,"Center of Excellence; a competence centre, which (unlike a Guild) is not accountable for day-to-day operational processes, nor P&L. It is accessed/activated and used with laser precision as and when needed by the Tribes or leader-ship councils. CoEs can shift roles to effectively act as squads for specific tasks."
COGS ,"Cost of Goods Sold. COGS refers to the direct costs of producing the goods sold by a company. This amount includes the cost of the materials and labor directly used to create the good. It excludes indirect expenses, such as distribution costs and sales force costs."
???????CPNP , Cosmetics Product Notification Portal
???????CY ,Current year.
DACH ,"Deutschland, Austria & Switzerland."
DtC ,Direct to Consumer
EBITDA ,"Earnings Before Interest, Taxes, Depreciation, and Amortization. Simply put, EBITDA is a measure of the profitability of a company."
eNPS ,"employer Net Promoter Score. eNPS is one of the standard ways of measuring Employee Engagement across the world and is the difference between the happiest and least happy employees, as determined by their answer to the question ""On a scale of 0 to 10, how likely would you be to recommend Karo to a friend or colleague as a place to work?"" The eNPS Calculation Formula is"
